FROM ZONE,TO ZONE,0.3kg,0.5kg,1kg,2kg,3kg,4kg,5kg,6kg,7kg,8kg,9kg,10kg,11kg,12kg,13kg,14kg,15kg,16kg,17kg,18kg,19kg,20kg,21kg,22kg,23kg,24kg,25kg,26kg,27kg,28kg,29kg,30kg,31kg,32kg,33kg,34kg,35kg,36kg,37kg,38kg,39kg,40kg
TVL,CAP,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,26.7417,28.767,30.7923,32.8176,34.8429,36.8682,38.8935,40.9188,42.9441,44.9694,46.9947,49.02,51.0453,53.0706,55.0959,57.1212,59.1465,61.1718,63.1971,74.2224,76.2477,78.273,80.2983,82.3236,84.3489,86.3742,88.3995,90.4248,92.4501,94.4754,96.5007,98.526,100.5513,102.5766
TVL,MKY,8.1141,8.1141,9.2364,9.6621,10.0749,11.3907,12.7065,13.5708,13.7772,13.9836,14.19,14.3964,14.6028,14.8092,15.0156,15.222,15.4284,15.6348,15.8412,16.0476,16.254,16.4604,16.6668,16.8732,17.0796,17.286,17.4924,26.6988,26.9052,27.1116,27.318,27.5244,27.7308,27.9372,28.1436,28.35,28.5564,28.7628,28.9692,29.1756,29.382,29.5884
TVL,CNS,8.1141,8.1141,9.2364,9.6621,10.0749,11.3907,12.7065,13.5708,13.7772,13.9836,14.19,14.3964,14.6028,14.8092,15.0156,15.222,15.4284,15.6348,15.8412,16.0476,16.254,16.4604,16.6668,16.8732,17.0796,17.286,17.4924,26.6988,26.9052,27.1116,27.318,27.5244,27.7308,27.9372,28.1436,28.35,28.5564,28.7628,28.9692,29.1756,29.382,29.5884
TVL,BDB,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,26.7417,28.767,30.7923,32.8176,34.8429,36.8682,38.8935,40.9188,42.9441,44.9694,46.9947,49.02,51.0453,53.0706,55.0959,57.1212,59.1465,61.1718,63.1971,74.2224,76.2477,78.273,80.2983,82.3236,84.3489,86.3742,88.3995,90.4248,92.4501,94.4754,96.5007,98.526,100.5513,102.5766
TVL,MYB,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,26.7417,28.767,30.7923,32.8176,34.8429,36.8682,38.8935,40.9188,42.9441,44.9694,46.9947,49.02,51.0453,53.0706,55.0959,57.1212,59.1465,61.1718,63.1971,74.2224,76.2477,78.273,80.2983,82.3236,84.3489,86.3742,88.3995,90.4248,92.4501,94.4754,96.5007,98.526,100.5513,102.5766
TVL,BRI,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,27.7866,30.8568,33.927,36.9972,40.0674,43.1376,46.2078,49.278,52.3482,55.4184,58.4886,61.5588,64.629,67.6992,70.7694,73.8396,76.9098,79.98,83.0502,95.1204,98.1906,101.2608,104.331,107.4012,110.4714,113.5416,116.6118,119.682,122.7522,125.8224,128.8926,131.9628,135.033,138.1032
TVL,GLD,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,27.7866,30.8568,33.927,36.9972,40.0674,43.1376,46.2078,49.278,52.3482,55.4184,58.4886,61.5588,64.629,67.6992,70.7694,73.8396,76.9098,79.98,83.0502,95.1204,98.1906,101.2608,104.331,107.4012,110.4714,113.5416,116.6118,119.682,122.7522,125.8224,128.8926,131.9628,135.033,138.1032
TVL,SUN,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,27.7866,30.8568,33.927,36.9972,40.0674,43.1376,46.2078,49.278,52.3482,55.4184,58.4886,61.5588,64.629,67.6992,70.7694,73.8396,76.9098,79.98,83.0502,95.1204,98.1906,101.2608,104.331,107.4012,110.4714,113.5416,116.6118,119.682,122.7522,125.8224,128.8926,131.9628,135.033,138.1032
TVL,TOO,9.0558,9.0558,10.7586,11.3649,11.9583,13.5063,15.0543,24.7164,28.4058,32.0952,35.7846,39.474,43.1634,46.8528,50.5422,54.2316,57.921,61.6104,65.2998,68.9892,72.6786,76.368,80.0574,83.7468,87.4362,91.1256,94.815,107.5044,111.1938,114.8832,118.5726,122.262,125.9514,129.6408,133.3302,137.0196,140.709,144.3984,148.0878,151.7772,155.4666,159.156
TVL,NTH,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,CFS,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,27.2577,31.9404,36.6231,41.3058,45.9885,50.6712,55.3539,60.0366,64.7193,69.402,74.0847,78.7674,83.4501,88.1328,92.8155,97.4982,102.1809,106.8636,111.5463,116.229,129.9117,134.5944,139.2771,143.9598,148.6425,153.3252,158.0079,162.6906,167.3733,172.056,176.7387,181.4214,186.1041,190.7868,195.4695
TVL,SYD,10.6425,10.6425,14.6157,16.6023,18.5889,20.511,22.4331,26.3031,30.9858,35.6685,40.3512,45.0339,49.7166,54.3993,59.082,63.7647,68.4474,73.1301,77.8128,82.4955,87.1782,91.8609,96.5436,101.2263,105.909,110.5917,115.2744,128.9571,133.6398,138.3225,143.0052,147.6879,152.3706,157.0533,161.736,166.4187,171.1014,175.7841,180.4668,185.1495,189.8322,194.5149
