SUBURB,POSTCODE,ComCat,Region
BOX HILL SOUTH,3128,BOX HILL SOUTH3128,MEL
BOYA,6056,BOYA6056,PER
BOYKAMBIL,4212,BOYKAMBIL4212,GLD
BRABHAM,6055,BRABHAM6055,PER
BRACKEN RIDGE,4017,BRACKEN RIDGE4017,BRI
BRADDON,2612,BRADDON2612,CBR
BRAEMAR,2575,BRAEMAR2575,WOL
BRAESIDE,3195,BRAESIDE3195,MEL
BRAHMA LODGE,5109,BRAHMA LODGE5109,ADL
BRANDON,4808,BRANDON4808,TVL
BRANDON PARK,3150,BRANDON PARK3150,MEL
BRANXTON,2335,BRANXTON2335,NEW
BRANYAN,4670,BRANYAN4670,BDB
BRASSALL,4305,BRASSALL4305,BRI
BRASSALL HEIGHTS,4305,BRASSALL HEIGHTS4305,BRI
BRAY PARK,2484,BRAY PARK2484,GLD
BRAY PARK,4500,BRAY PARK4500,BRI
BRAYBROOK,3019,BRAYBROOK3019,MEL
BRAYBROOK NORTH,3019,BRAYBROOK NORTH3019,MEL
BREADALBANE,7258,BREADALBANE7258,LAU
BREAKFAST CREEK,4010,BREAKFAST CREEK4010,BRI
BREAKWATER,3219,BREAKWATER3219,GEE
BREAMLEA,3227,BREAMLEA3227,GEE
BREDDAN,4820,BREDDAN4820,TVL
BREMER,4305,BREMER4305,BRI
BRENDALE,4500,BRENDALE4500,BRI
BRENDALE BC,4500,BRENDALE BC4500,BRI
BRENDALE DC,4500,BRENDALE DC4500,BRI
BRENTWOOD,6153,BRENTWOOD6153,PER
BRIAR HILL,3088,BRIAR HILL3088,MEL
BRIBIE ISLAND,4507,BRIBIE ISLAND4507,BRI
BRIBIE ISLAND DC,4507,BRIBIE ISLAND DC4507,BRI
BRIBIE ISLAND NORTH,4507,BRIBIE ISLAND NORTH4507,BRI
BRIDGEMAN DOWNS,4035,BRIDGEMAN DOWNS4035,BRI
BRIDGEWATER,7030,BRIDGEWATER7030,TAS
BRIDPORT,7262,BRIDPORT7262,LAU
BRIGHT,3741,BRIGHT3741,ALB
BRIGHTON,3186,BRIGHTON3186,MEL
BRIGHTON,4017,BRIGHTON4017,BRI
BRIGHTON,5048,BRIGHTON5048,ADL
BRIGHTON,7030,BRIGHTON7030,TAS
BRIGHTON EAST,3187,BRIGHTON EAST3187,MEL
BRIGHTON EVENTIDE,4017,BRIGHTON EVENTIDE4017,BRI
BRIGHTON NATHAN STREET,4017,BRIGHTON NATHAN STREET4017,BRI
BRIGHTON NORTH,3186,BRIGHTON NORTH3186,MEL
BRIGHTON ROAD,3184,BRIGHTON ROAD3184,MEL
BRIGHTVIEW,4311,BRIGHTVIEW4311,TOO
BRIGHTWATERS,2264,BRIGHTWATERS2264,NEW
BRIMBIN,2430,BRIMBIN2430,PQQ
BRINSMEAD,4870,BRINSMEAD4870,CNS
BRISBANE,4000,BRISBANE4000,BRI
BRISBANE,4001,BRISBANE4001,BRI
BRISBANE,9000,BRISBANE9000,BRI
BRISBANE,9001,BRISBANE9001,BRI
BRISBANE,9002,BRISBANE9002,BRI
BRISBANE,9005,BRISBANE9005,BRI
BRISBANE,9007,BRISBANE9007,BRI
BRISBANE,9009,BRISBANE9009,BRI
BRISBANE,9010,BRISBANE9010,BRI
BRISBANE,9013,BRISBANE9013,BRI
BRISBANE,9015,BRISBANE9015,BRI
BRISBANE ADELAIDE STREET,4000,BRISBANE ADELAIDE STREET4000,BRI
BRISBANE AIRPORT,4007,BRISBANE AIRPORT4007,BRI
BRISBANE AIRPORT,4008,BRISBANE AIRPORT4008,BRI
BRISBANE ALBERT STREET BC,4002,BRISBANE ALBERT STREET BC4002,BRI
BRISBANE CITY,4000,BRISBANE CITY4000,BRI
BRISBANE CITY DC,4000,BRISBANE CITY DC4000,BRI
BRISBANE EXHIBITION,4006,BRISBANE EXHIBITION4006,BRI
BRISBANE GPO,4000,BRISBANE GPO4000,BRI
BRISBANE MARKET,4106,BRISBANE MARKET4106,BRI
BRISBANE-CITY,4000,BRISBANE-CITY4000,BRI
BROADBEACH,4218,BROADBEACH4218,GLD
BROADBEACH WATERS,4218,BROADBEACH WATERS4218,GLD
BROADMEADOW,2292,BROADMEADOW2292,NEW
BROADMEADOWS,3047,BROADMEADOWS3047,MEL
BROADVIEW,5083,BROADVIEW5083,ADL
BROADWATER,4380,BROADWATER4380,TOO
BROADWAY NEDLANDS,6009,BROADWAY NEDLANDS6009,PER
BROKE,2330,BROKE2330,NEW
BROMPTON,5007,BROMPTON5007,ADL
BROOKDALE,6112,BROOKDALE6112,PER
BROOKFIELD,3338,BROOKFIELD3338,MEL
BROOKFIELD,4069,BROOKFIELD4069,BRI
BROOKHILL,4816,BROOKHILL4816,TVL
BROOKLYN,3012,BROOKLYN3012,MEL
BROOKLYN,7320,BROOKLYN7320,DPO
BROOKLYN PARK,5032,BROOKLYN PARK5032,ADL
BROOKSIDE CENTRE,4053,BROOKSIDE CENTRE4053,BRI
BROOKWATER,4300,BROOKWATER4300,BRI
BROUGHTON,2535,BROUGHTON2535,WOL
BROUGHTON,4820,BROUGHTON4820,TVL
BROUGHTON VILLAGE,2534,BROUGHTON VILLAGE2534,WOL
BROWN HILL,3350,BROWN HILL3350,GEE
BROWNS PLAINS,4118,BROWNS PLAINS4118,BRI
BROWNS PLAINS BC,4118,BROWNS PLAINS BC4118,BRI
BROWNSLEIGH,4118,BROWNSLEIGH4118,BRI
BROWNSVILLE,2530,BROWNSVILLE2530,WOL
BRUCE,2617,BRUCE2617,CBR
BRUNSWICK,3056,BRUNSWICK3056,MEL
BRUNSWICK,8538,BRUNSWICK8538,MEL
BRUNSWICK EAST,3057,BRUNSWICK EAST3057,MEL
BRUNSWICK HEADS,2483,BRUNSWICK HEADS2483,NTH
BRUNSWICK LOWER,3056,BRUNSWICK LOWER3056,MEL
BRUNSWICK NORTH,3056,BRUNSWICK NORTH3056,MEL
BRUNSWICK SOUTH,3055,BRUNSWICK SOUTH3055,MEL
BRUNSWICK WEST,3055,BRUNSWICK WEST3055,MEL
BUCASIA,4750,BUCASIA4750,MKY
BUCHAN POINT,4879,BUCHAN POINT4879,CNS
BUCHANAN,2323,BUCHANAN2323,NEW
BUCHFELDE,5118,BUCHFELDE5118,ADL
BUCKLAND PARK,5120,BUCKLAND PARK5120,ADL
BUDDINA,4575,BUDDINA4575,SUN
BUDERIM,4556,BUDERIM4556,SUN
BUDGEWOI,2262,BUDGEWOI2262,CCT
BUDGEWOI PENINSULA,2262,BUDGEWOI PENINSULA2262,CCT
BUFF POINT,2262,BUFF POINT2262,CCT
BULIMBA,4171,BULIMBA4171,BRI
BULL CREEK,6149,BULL CREEK6149,PER
BULLABURRA,2784,BULLABURRA2784,SYD
BULLEEN,3105,BULLEEN3105,MEL
BULLEEN SOUTH,3105,BULLEEN SOUTH3105,MEL
BULLI,2516,BULLI2516,WOL
BULLI TOPS,2516,BULLI TOPS2516,WOL
BULLS CAMP,2778,BULLS CAMP2778,SYD
BULLYARD,4671,BULLYARD4671,BDB
BULWER ISLAND,4008,BULWER ISLAND4008,BRI
BUNDABERG,4670,BUNDABERG4670,BDB
BUNDABERG CENTRAL,4670,BUNDABERG CENTRAL4670,BDB
BUNDABERG DC,4670,BUNDABERG DC4670,BDB
BUNDABERG EAST,4670,BUNDABERG EAST4670,BDB
BUNDABERG NORTH,4670,BUNDABERG NORTH4670,BDB
BUNDABERG SOUTH,4670,BUNDABERG SOUTH4670,BDB
BUNDABERG WEST,4670,BUNDABERG WEST4670,BDB
BUNDALL,4217,BUNDALL4217,GLD
BUNDALL BC,4217,BUNDALL BC4217,GLD
BUNDALL DC,4217,BUNDALL DC4217,GLD
BUNDALONG,3730,BUNDALONG3730,ALB
BUNDAMBA,4304,BUNDAMBA4304,BRI
BUNDANOON,2578,BUNDANOON2578,WOL
BUNDOORA,3083,BUNDOORA3083,MEL
BUNGADOO,4671,BUNGADOO4671,BDB
BUNGALOW,4870,BUNGALOW4870,CNS
BUNINYONG,3357,BUNINYONG3357,GEE
BUNYA,4055,BUNYA4055,BRI
BUNYA CREEK,4655,BUNYA CREEK4655,MYB
BURANDA,4102,BURANDA4102,BRI
BURBANK,4156,BURBANK4156,BRI
BURDELL,4818,BURDELL4818,TVL
BURLEIGH BC,4220,BURLEIGH BC4220,GLD
BURLEIGH DC,4220,BURLEIGH DC4220,GLD
BURLEIGH HEADS,4220,BURLEIGH HEADS4220,GLD
BURLEIGH TOWN,4220,BURLEIGH TOWN4220,GLD
BURLEIGH WATERS,4220,BURLEIGH WATERS4220,GLD
BURNETT DOWNS,4670,BURNETT DOWNS4670,BDB
BURNETT HEADS,4670,BURNETT HEADS4670,BDB
BURNIE,7320,BURNIE7320,DPO
BURNLEY,3121,BURNLEY3121,MEL
BURNLEY NORTH,3121,BURNLEY NORTH3121,MEL
BURNS BEACH,6028,BURNS BEACH6028,PER
BURNSIDE,3023,BURNSIDE3023,MEL
BURNSIDE,4560,BURNSIDE4560,SUN
BURNSIDE,5066,BURNSIDE5066,ADL
BURNSIDE HEIGHTS,3023,BURNSIDE HEIGHTS3023,MEL
BURPENGARY,4505,BURPENGARY4505,BRI
BURPENGARY DC,4505,BURPENGARY DC4505,BRI
BURPENGARY EAST,4505,BURPENGARY EAST4505,BRI
BURRADOO,2576,BURRADOO2576,WOL
BURRAWANG,2577,BURRAWANG2577,WOL
BURSWOOD,6100,BURSWOOD6100,PER
BURTON,5110,BURTON5110,ADL
BURWOOD,3125,BURWOOD3125,MEL
BURWOOD EAST,3151,BURWOOD EAST3151,MEL
BURWOOD HEIGHTS,3151,BURWOOD HEIGHTS3151,MEL
BUSHELLS RIDGE,2259,BUSHELLS RIDGE2259,CCT
BUSHLAND BEACH,4818,BUSHLAND BEACH4818,TVL
BUSHMEAD,6055,BUSHMEAD6055,PER
BUTLER,6036,BUTLER6036,PER
BUTTABA,2283,BUTTABA2283,NEW
BUTTAI,2323,BUTTAI2323,NEW
BUXTON,2571,BUXTON2571,WOL
BYFORD,6122,BYFORD6122,PER
BYRON BAY,2481,BYRON BAY2481,NTH
CABARITA BEACH,2488,CABARITA BEACH2488,GLD
CABARLAH,4352,CABARLAH4352,TOO
CABBAGE TREE POINT,4207,CABBAGE TREE POINT4207,BRI
CABOOLTURE,4510,CABOOLTURE4510,BRI
CABOOLTURE BC,4510,CABOOLTURE BC4510,BRI
CABOOLTURE SOUTH,4510,CABOOLTURE SOUTH4510,BRI
CADELLO,3442,CADELLO3442,MEL
CAIRNLEA,3023,CAIRNLEA3023,MEL
CAIRNS,4870,CAIRNS4870,CNS
CAIRNS CENTRAL,4870,CAIRNS CENTRAL4870,CNS
CAIRNS CITY,4870,CAIRNS CITY4870,CNS
CAIRNS DC,4870,CAIRNS DC4870,CNS
CAIRNS MC,4870,CAIRNS MC4870,CNS
CAIRNS NORTH,4870,CAIRNS NORTH4870,CNS
CAIRNS ORCHID PLAZA,4870,CAIRNS ORCHID PLAZA4870,CNS
CALAMVALE,4116,CALAMVALE4116,BRI
CALARE,2800,CALARE2800,OAG
CALCIUM,4816,CALCIUM4816,TVL
CALDER PARK,3037,CALDER PARK3037,MEL
CALDER PARK,3049,CALDER PARK3049,MEL
CALDERWOOD,2527,CALDERWOOD2527,WOL
CALIFORNIA GULLY,3556,CALIFORNIA GULLY3556,BEN
CALISTA,6167,CALISTA6167,PER
CALLAGHAN,2308,CALLAGHAN2308,NEW
CALOUNDRA,4551,CALOUNDRA4551,SUN
CALOUNDRA BC,4551,CALOUNDRA BC4551,SUN
CALOUNDRA DC,4551,CALOUNDRA DC4551,SUN
CALOUNDRA WEST,4551,CALOUNDRA WEST4551,SUN
CALWELL,2905,CALWELL2905,CBR
CAMBERWELL,3124,CAMBERWELL3124,MEL
CAMBERWELL,8626,CAMBERWELL8626,MEL
CAMBERWELL,8627,CAMBERWELL8627,MEL
CAMBERWELL EAST,3126,CAMBERWELL EAST3126,MEL
CAMBERWELL NORTH,3124,CAMBERWELL NORTH3124,MEL
CAMBERWELL SOUTH,3124,CAMBERWELL SOUTH3124,MEL
CAMBERWELL WEST,3124,CAMBERWELL WEST3124,MEL
CAMBEWARRA,2540,CAMBEWARRA2540,WOL
CAMBEWARRA VILLAGE,2540,CAMBEWARRA VILLAGE2540,WOL
CAMBOOYA,4358,CAMBOOYA4358,TOO
CAMBRIDGE,7170,CAMBRIDGE7170,TAS
CAMDALE,7320,CAMDALE7320,DPO
CAMDEN HEAD,2443,CAMDEN HEAD2443,PQQ
CAMDEN PARK,5038,CAMDEN PARK5038,ADL
CAMERON PARK,2285,CAMERON PARK2285,NEW
CAMILLO,6111,CAMILLO6111,PER
CAMIRA,4300,CAMIRA4300,BRI
CAMP HILL,4152,CAMP HILL4152,BRI
CAMPBELL,2612,CAMPBELL2612,CBR
CAMPBELLFIELD,3061,CAMPBELLFIELD3061,MEL
CAMPBELLS CREEK,3451,CAMPBELLS CREEK3451,BEN
CAMPBELLTOWN,5074,CAMPBELLTOWN5074,ADL
CAMPVALE,2318,CAMPVALE2318,NEW
CAMS WHARF,2281,CAMS WHARF2281,NEW
CANADIAN,3350,CANADIAN3350,GEE
CANBERRA,2600,CANBERRA2600,CBR
CANBERRA,2601,CANBERRA2601,CBR
CANBERRA AIRPORT,2609,CANBERRA AIRPORT2609,CBR
CANBERRA BC,2610,CANBERRA BC2610,CBR
CANBERRA INTERNATIONAL AIRPORT,2609,CANBERRA INTERNATIONAL AIRPORT2609,CBR
CANBERRA MC,2610,CANBERRA MC2610,CBR
CANNING BRIDGE APPLECROSS,6153,CANNING BRIDGE APPLECROSS6153,PER
CANNING VALE,6155,CANNING VALE6155,PER
CANNING VALE DC,6155,CANNING VALE DC6155,PER
CANNING VALE DC,6970,CANNING VALE DC6970,PER
CANNING VALE EAST,6155,CANNING VALE EAST6155,PER
CANNING VALE SOUTH,6155,CANNING VALE SOUTH6155,PER
CANNINGTON,6107,CANNINGTON6107,PER
CANNINGTON,6980,CANNINGTON6980,PER
CANNINGTON,6987,CANNINGTON6987,PER
CANNON HILL,4170,CANNON HILL4170,BRI
CANNON VALLEY,4800,CANNON VALLEY4800,MKY
CANNONVALE,4802,CANNONVALE4802,MKY
CANOBOLAS,2800,CANOBOLAS2800,OAG
CANOWINDRA,4209,CANOWINDRA4209,GLD
CANTERBURY,3126,CANTERBURY3126,MEL
CANTON BEACH,2263,CANTON BEACH2263,CCT
CANUNGRA,4275,CANUNGRA4275,GLD
CAPALABA,4157,CAPALABA4157,BRI
CAPALABA BC,4157,CAPALABA BC4157,BRI
CAPALABA DC,4157,CAPALABA DC4157,BRI
CAPALABA WEST,4157,CAPALABA WEST4157,BRI
CAPE SCHANCK,3939,CAPE SCHANCK3939,MEL
CAPEL SOUND,3940,CAPEL SOUND3940,MEL
CAPITAL HILL,2600,CAPITAL HILL2600,CBR
CARABOODA,6033,CARABOODA6033,PER
CARAVONICA,4878,CARAVONICA4878,CNS
CARBROOK,4130,CARBROOK4130,BRI
CARDIFF,2285,CARDIFF2285,NEW
CARDIFF HEIGHTS,2285,CARDIFF HEIGHTS2285,NEW
CARDIFF SOUTH,2285,CARDIFF SOUTH2285,NEW
CARDIGAN,3352,CARDIGAN3352,GEE
CAREY BAY,2283,CAREY BAY2283,NEW
CARINA,4152,CARINA4152,BRI
CARINA HEIGHTS,4152,CARINA HEIGHTS4152,BRI
CARINA NORTH,4152,CARINA NORTH4152,BRI
CARINDALE,4152,CARINDALE4152,BRI
CARINE,6020,CARINE6020,PER
CARLISLE,6101,CARLISLE6101,PER
CARLISLE NORTH,6101,CARLISLE NORTH6101,PER
CARLISLE SOUTH,6101,CARLISLE SOUTH6101,PER
CARLTON,3053,CARLTON3053,MEL
CARLTON NORTH,3054,CARLTON NORTH3054,MEL
CARLTON SOUTH,3053,CARLTON SOUTH3053,MEL
CARNEGIE,3163,CARNEGIE3163,MEL
CAROLE PARK,4300,CAROLE PARK4300,BRI
CAROLINE SPRINGS,3023,CAROLINE SPRINGS3023,MEL
CARPENDALE,4344,CARPENDALE4344,TOO
CARRAMAR,6031,CARRAMAR6031,PER
CARRARA,4211,CARRARA4211,GLD
CARRICK,7291,CARRICK7291,LAU
CARRINGTON,2294,CARRINGTON2294,NEW
CARRINGTON,4350,CARRINGTON4350,TOO
CARRUM,3197,CARRUM3197,MEL
CARRUM DOWNS,3201,CARRUM DOWNS3201,MEL
CARSELDINE,4034,CARSELDINE4034,BRI
CARTWRIGHTS HILL,2650,CARTWRIGHTS HILL2650,YNG
CASEY,2913,CASEY2913,CBR
CASHMERE,4500,CASHMERE4500,BRI
CASINO,2470,CASINO2470,NTH
CASTAWAYS BEACH,4567,CASTAWAYS BEACH4567,SUN
CASTLE HILL,4810,CASTLE HILL4810,TVL
CASTLEMAINE,3450,CASTLEMAINE3450,BEN
CASUARINA,2487,CASUARINA2487,GLD
CASUARINA,6167,CASUARINA6167,PER
CATHERINE HILL BAY,2281,CATHERINE HILL BAY2281,NEW
CAULFIELD,3162,CAULFIELD3162,MEL
CAULFIELD EAST,3145,CAULFIELD EAST3145,MEL
CAULFIELD JUNCTION,3161,CAULFIELD JUNCTION3161,MEL
CAULFIELD NORTH,3161,CAULFIELD NORTH3161,MEL
CAULFIELD SOUTH,3162,CAULFIELD SOUTH3162,MEL
CAUSEWAY,2604,CAUSEWAY2604,CBR
CAVAN,5094,CAVAN5094,ADL
CAVERSHAM,6055,CAVERSHAM6055,PER
CAVES BEACH,2281,CAVES BEACH2281,NEW
CAWDOR,4352,CAWDOR4352,TOO
CEDAR VALE,4285,CEDAR VALE4285,BRI
CENTENARY HEIGHTS,4350,CENTENARY HEIGHTS4350,TOO
CENTENARY PARK,4869,CENTENARY PARK4869,CNS
CENTRAL COAST MC,2252,CENTRAL COAST MC2252,CCT
CENTRAL PLAZA,4001,CENTRAL PLAZA4001,BRI
CENTRAL QUEENSLAND UNIVERSITY,4701,CENTRAL QUEENSLAND UNIVERSITY4701,CAP
CERES,3221,CERES3221,GEE
CESSNOCK,2325,CESSNOCK2325,NEW
CESSNOCK WEST,2325,CESSNOCK WEST2325,NEW
CHADSTONE,3148,CHADSTONE3148,MEL
CHADSTONE CENTRE,3148,CHADSTONE CENTRE3148,MEL
CHAIN VALLEY BAY,2259,CHAIN VALLEY BAY2259,CCT
CHAMBERS FLAT,4133,CHAMBERS FLAT4133,BRI
CHAMPION LAKES,6111,CHAMPION LAKES6111,PER
CHANDLER,4155,CHANDLER4155,BRI
CHANDLERS HILL,5159,CHANDLERS HILL5159,ADL
CHAPEL HILL,4069,CHAPEL HILL4069,BRI
CHAPMAN,2611,CHAPMAN2611,CBR
CHARLEMONT,3217,CHARLEMONT3217,GEE
CHARLES STURT UNIVERSITY,2678,CHARLES STURT UNIVERSITY2678,YNG
CHARLES STURT UNIVERSITY,2795,CHARLES STURT UNIVERSITY2795,OAG
CHARLESTOWN,2290,CHARLESTOWN2290,NEW
CHARLTON,4350,CHARLTON4350,TOO
CHARMHAVEN,2263,CHARMHAVEN2263,CCT
CHARNWOOD,2615,CHARNWOOD2615,CBR
CHARTERS TOWERS,4820,CHARTERS TOWERS4820,TVL
CHARTERS TOWERS CITY,4820,CHARTERS TOWERS CITY4820,TVL
CHARTWELL,3030,CHARTWELL3030,MEL
CHATHAM,2430,CHATHAM2430,PQQ
CHATSWOOD HILLS,4127,CHATSWOOD HILLS4127,BRI
CHELMER,4068,CHELMER4068,BRI
CHELSEA,3196,CHELSEA3196,MEL
CHELSEA HEIGHTS,3196,CHELSEA HEIGHTS3196,MEL
CHELTENHAM,3192,CHELTENHAM3192,MEL
CHELTENHAM,5014,CHELTENHAM5014,ADL
CHELTENHAM EAST,3192,CHELTENHAM EAST3192,MEL
CHELTENHAM NORTH,3192,CHELTENHAM NORTH3192,MEL
CHERMSIDE,4032,CHERMSIDE4032,BRI
CHERMSIDE BC,4032,CHERMSIDE BC4032,BRI
CHERMSIDE CENTRE,4032,CHERMSIDE CENTRE4032,BRI
CHERMSIDE SOUTH,4032,CHERMSIDE SOUTH4032,BRI
CHERMSIDE WEST,4032,CHERMSIDE WEST4032,BRI
CHEVALLUM,4555,CHEVALLUM4555,SUN
CHEVRON ISLAND,4217,CHEVRON ISLAND4217,GLD
CHEWTON,3451,CHEWTON3451,BEN
CHIFLEY,2606,CHIFLEY2606,CBR
CHIGWELL,7011,CHIGWELL7011,TAS
CHILCOTTS GRASS,2480,CHILCOTTS GRASS2480,NTH
CHILDERS,4660,CHILDERS4660,BDB
CHILTERN,3683,CHILTERN3683,ALB
CHINDERAH,2487,CHINDERAH2487,GLD
CHIRN PARK,4215,CHIRN PARK4215,GLD
CHIRNSIDE PARK,3116,CHIRNSIDE PARK3116,MEL
CHISHOLM,2322,CHISHOLM2322,NEW
CHISHOLM,2905,CHISHOLM2905,CBR
CHITTAWAY BAY,2261,CHITTAWAY BAY2261,CCT
CHITTAWAY POINT,2261,CHITTAWAY POINT2261,CCT
CHRISTIE DOWNS,5164,CHRISTIE DOWNS5164,ADL
CHRISTIES BEACH,5165,CHRISTIES BEACH5165,ADL
CHRISTIES BEACH NORTH,5165,CHRISTIES BEACH NORTH5165,ADL
CHURCHILL,4305,CHURCHILL4305,BRI
CHURCHLANDS,6018,CHURCHLANDS6018,PER
CITY,2601,CITY2601,CBR
CITY BEACH,6015,CITY BEACH6015,PER
CITY DELIVERY CENTRE,6000,CITY DELIVERY CENTRE6000,PER
CITY EAST,4002,CITY EAST4002,BRI
CITY WEST CAMPUS,5000,CITY WEST CAMPUS5000,ADL
CIVIC SQUARE,2608,CIVIC SQUARE2608,CBR
CLAGIRABA,4211,CLAGIRABA4211,GLD
CLAPHAM,5062,CLAPHAM5062,ADL
CLAREMONT,6010,CLAREMONT6010,PER
CLAREMONT,6910,CLAREMONT6910,PER
CLAREMONT,7011,CLAREMONT7011,TAS
CLAREMONT NORTH,6010,CLAREMONT NORTH6010,PER
CLARENCE GARDENS,5039,CLARENCE GARDENS5039,ADL
CLARENCE PARK,5034,CLARENCE PARK5034,ADL
CLARENDON VALE,7019,CLARENDON VALE7019,TAS
CLARINDA,3169,CLARINDA3169,MEL
CLARKSON,6030,CLARKSON6030,PER
CLAYFIELD,4011,CLAYFIELD4011,BRI
CLAYTON,3168,CLAYTON3168,MEL
CLAYTON SOUTH,3169,CLAYTON SOUTH3169,MEL
CLEAR ISLAND WATERS,4226,CLEAR ISLAND WATERS4226,GLD
CLEARVIEW,5085,CLEARVIEW5085,ADL
CLEMANT,4816,CLEMANT4816,TVL
CLEVELAND,2530,CLEVELAND2530,WOL
CLEVELAND,4163,CLEVELAND4163,BRI
CLEVELAND DC,4163,CLEVELAND DC4163,BRI
CLIFFORD GARDENS,4350,CLIFFORD GARDENS4350,TOO
CLIFTLEIGH,2321,CLIFTLEIGH2321,NEW
CLIFTON,2515,CLIFTON2515,WOL
CLIFTON,4361,CLIFTON4361,TOO
CLIFTON BEACH,4879,CLIFTON BEACH4879,CNS
CLIFTON GROVE,2800,CLIFTON GROVE2800,OAG
CLIFTON HILL,3068,CLIFTON HILL3068,MEL
CLIFTON HILL,4105,CLIFTON HILL4105,BRI
CLIFTON SPRINGS,3222,CLIFTON SPRINGS3222,GEE
CLOISTERS SQUARE,6850,CLOISTERS SQUARE6850,PER
CLOISTERS SQUARE PO,6850,CLOISTERS SQUARE PO6850,PER
CLONTARF,4019,CLONTARF4019,BRI
CLONTARF BEACH,4019,CLONTARF BEACH4019,BRI
CLONTARF DC,4019,CLONTARF DC4019,BRI
CLOTHIERS CREEK,2484,CLOTHIERS CREEK2484,GLD
CLOVELLY PARK,5042,CLOVELLY PARK5042,ADL
CLOVERDALE,6105,CLOVERDALE6105,PER
CLOVERDALE,6985,CLOVERDALE6985,PER
CLUDEN,4811,CLUDEN4811,TVL
COAL POINT,2283,COAL POINT2283,NEW
COALCLIFF,2508,COALCLIFF2508,WOL
COALFALLS,4305,COALFALLS4305,BRI
COBURG,3058,COBURG3058,MEL
COBURG NORTH,3058,COBURG NORTH3058,MEL
COCKATOO VALLEY,5351,COCKATOO VALLEY5351,ADL
COCKBURN CENTRAL,6164,COCKBURN CENTRAL6164,PER
COES CREEK,4560,COES CREEK4560,SUN
COFFS HARBOUR,2450,COFFS HARBOUR2450,CFS
COFFS HARBOUR JETTY,2450,COFFS HARBOUR JETTY2450,CFS
COFFS HARBOUR PLAZA,2450,COFFS HARBOUR PLAZA2450,CFS
COLAC,3250,COLAC3250,GEE
COLAC EAST,3250,COLAC EAST3250,GEE
COLAC WEST,3250,COLAC WEST3250,GEE
COLEDALE,2515,COLEDALE2515,WOL
COLLEGE PARK,5069,COLLEGE PARK5069,ADL
COLLEGE VIEW,4343,COLLEGE VIEW4343,TOO
COLLINGWOOD,3066,COLLINGWOOD3066,MEL
COLLINGWOOD NORTH,3066,COLLINGWOOD NORTH3066,MEL
COLLINGWOOD PARK,4301,COLLINGWOOD PARK4301,BRI
COLLINS STREET EAST,8003,COLLINS STREET EAST8003,MEL
COLLINS STREET WEST,8007,COLLINS STREET WEST8007,MEL
COLLINSWOOD,5081,COLLINSWOOD5081,ADL
COLMSLIE,4170,COLMSLIE4170,BRI
COLO VALE,2575,COLO VALE2575,WOL
COLONEL LIGHT GARDENS,5041,COLONEL LIGHT GARDENS5041,ADL
COLONGRA,2262,COLONGRA2262,CCT
COLUMBIA,4820,COLUMBIA4820,TVL
COMO,6152,COMO6152,PER
COMO,6952,COMO6952,PER
CONCORDIA,5118,CONCORDIA5118,ADL
CONDER,2906,CONDER2906,CBR
CONDON,4815,CONDON4815,TVL
CONDONG,2484,CONDONG2484,GLD
CONINGSBY,4740,CONINGSBY4740,MKY
CONISTON,2500,CONISTON2500,WOL
CONNEWARRE,3227,CONNEWARRE3227,GEE
CONNOLLY,6027,CONNOLLY6027,PER
COODANUP,6210,COODANUP6210,PER
COOEE,7320,COOEE7320,DPO
COOEE BAY,4703,COOEE BAY4703,CAP
COOGEE,6166,COOGEE6166,PER
COOK,2614,COOK2614,CBR
COOKS HILL,2300,COOKS HILL2300,NEW
COOLANGATTA,2535,COOLANGATTA2535,WOL
COOLANGATTA,4225,COOLANGATTA4225,GLD
COOLAROO,3048,COOLAROO3048,MEL
COOLBELLUP,6163,COOLBELLUP6163,PER
COOLBINIA,6050,COOLBINIA6050,PER
COOLOONGUP,6168,COOLOONGUP6168,PER
COOLUM BEACH,4573,COOLUM BEACH4573,SUN
COOMBABAH,4216,COOMBABAH4216,GLD
COOMBS,2611,COOMBS2611,CBR
COOMERA,4209,COOMERA4209,GLD
COOPERS PLAINS,4108,COOPERS PLAINS4108,BRI
COORANBONG,2265,COORANBONG2265,NEW
COOROY,4563,COOROY4563,SUN
COOROY MOUNTAIN,4563,COOROY MOUNTAIN4563,SUN
COORPAROO,4151,COORPAROO4151,BRI
COORPAROO BC,4151,COORPAROO BC4151,BRI
COORPAROO DC,4151,COORPAROO DC4151,BRI
COOTAMUNDRA,2590,COOTAMUNDRA2590,YNG
COOYA BEACH,4873,COOYA BEACH4873,CNS
COPACABANA,2251,COPACABANA2251,CCT
CORAL COVE,4670,CORAL COVE4670,BDB
CORBOULD PARK,4551,CORBOULD PARK4551,SUN
CORDALBA,4660,CORDALBA4660,BDB
CORDEAUX,2526,CORDEAUX2526,WOL
CORDEAUX HEIGHTS,2526,CORDEAUX HEIGHTS2526,WOL
CORINDA,4075,CORINDA4075,BRI
CORINDI BEACH,2456,CORINDI BEACH2456,CFS
CORIO,3214,CORIO3214,GEE
CORLETTE,2315,CORLETTE2315,NEW
CORNELIAN BAY,7008,CORNELIAN BAY7008,TAS
CORNUBIA,4130,CORNUBIA4130,BRI
COROMANDEL VALLEY,5051,COROMANDEL VALLEY5051,ADL
COROWA,2646,COROWA2646,ALB
CORRIMAL,2518,CORRIMAL2518,WOL
